Date,Category,Value,Product,Sales,Region
2023-01-01,C,52.0,Product3,175.0,East
2023-01-02,A,62.0,Product2,364.0,North
2023-01-03,C,58.0,Product1,554.0,South
2023-01-04,C,52.0,Product1,895.0,East
2023-01-05,A,12.0,Product2,817.0,North
2023-01-06,A,39.0,Product3,,South
2023-01-07,C,2.0,Product1,483.0,East
2023-01-08,B,3.0,Product1,663.0,East
2023-01-09,C,56.0,Product1,950.0,North
2023-01-10,C,81.0,Product2,605.0,North
2023-01-11,C,59.0,Product2,466.0,North
2023-01-12,C,2.0,Product3,,South
2023-01-13,A,2.0,Product3,984.0,North
2023-01-14,C,92.0,Product3,168.0,East
2023-01-15,B,54.0,Product2,198.0,East
2023-01-16,A,,Product2,495.0,North
2023-01-17,B,96.0,Product3,124.0,North
2023-01-18,B,97.0,Product3,990.0,West
2023-01-19,B,1.0,Product2,568.0,East
2023-01-20,B,19.0,Product3,583.0,South
2023-01-21,A,2.0,Product1,664.0,West
2023-01-22,A,53.0,Product2,250.0,North
2023-01-23,B,44.0,Product3,243.0,North
2023-01-24,B,90.0,Product2,668.0,East
2023-01-25,A,32.0,Product1,138.0,North
2023-01-26,A,70.0,Product2,208.0,South
2023-01-27,A,,Product2,792.0,East
2023-01-28,C,68.0,Product2,141.0,North
2023-01-29,C,55.0,Product2,285.0,East
2023-01-30,C,75.0,Product1,497.0,North
2023-01-31,B,56.0,Product2,322.0,North
2023-02-01,C,17.0,Product2,733.0,North
2023-02-02,B,38.0,Product3,232.0,South
2023-02-03,B,24.0,Product2,262.0,South
2023-02-04,C,69.0,Product3,314.0,East
2023-02-05,B,98.0,Product1,832.0,North
2023-02-06,C,70.0,Product1,334.0,North
2023-02-07,C,86.0,Product1,942.0,South
2023-02-08,A,11.0,Product1,,North
2023-02-09,C,16.0,Product3,850.0,South
2023-02-10,A,97.0,Product2,687.0,North
2023-02-11,C,73.0,Product1,108.0,East
2023-02-12,C,59.0,Product2,173.0,North
2023-02-13,A,70.0,Product3,591.0,North
2023-02-14,A,80.0,Product3,352.0,West
2023-02-15,C,93.0,Product3,329.0,South
2023-02-16,B,3.0,Product1,618.0,North
2023-02-17,A,,Product2,273.0,North
2023-02-18,B,59.0,Product2,752.0,West
2023-02-19,B,36.0,Product2,267.0,West
2023-02-20,B,19.0,Product3,269.0,South
2023-02-21,A,90.0,Product1,492.0,West
2023-02-22,B,67.0,Product3,894.0,East
2023-02-23,A,19.0,Product3,733.0,West
2023-02-24,B,20.0,Product2,293.0,East
2023-02-25,C,96.0,Product3,616.0,South
2023-02-26,C,71.0,Product2,128.0,South
2023-02-27,A,,Product1,264.0,South
2023-02-28,C,33.0,Product2,521.0,South
2023-03-01,C,40.0,Product1,438.0,South
2023-03-02,B,39.0,Product2,747.0,East
2023-03-03,A,82.0,Product3,595.0,East
2023-03-04,B,1.0,Product3,464.0,South
2023-03-05,B,11.0,Product1,932.0,West
2023-03-06,B,92.0,Product1,441.0,North
2023-03-07,B,57.0,Product1,599.0,South
2023-03-08,B,89.0,Product2,,West
2023-03-09,B,50.0,Product2,610.0,North
2023-03-10,B,23.0,Product1,426.0,South
2023-03-11,A,31.0,Product3,316.0,South
2023-03-12,C,94.0,Product2,400.0,East
2023-03-13,B,42.0,Product2,231.0,North
2023-03-14,B,99.0,Product2,903.0,North
2023-03-15,B,7.0,Product1,169.0,West
2023-03-16,B,16.0,Product1,351.0,East
2023-03-17,B,,Product1,514.0,East
2023-03-18,B,60.0,Product1,886.0,East
2023-03-19,C,2.0,Product1,544.0,East
2023-03-20,C,1.0,Product3,975.0,North
2023-03-21,B,48.0,Product3,281.0,North
2023-03-22,C,12.0,Product1,,South
2023-03-23,A,,Product2,190.0,South
2023-03-24,B,37.0,Product1,813.0,East
2023-03-25,A,32.0,Product3,,East
2023-03-26,A,9.0,Product3,630.0,East
2023-03-27,B,99.0,Product2,138.0,South
2023-03-28,C,19.0,Product3,225.0,West
2023-03-29,A,,Product1,550.0,West
2023-03-30,B,,Product2,272.0,South
2023-03-31,A,3.0,Product1,752.0,South
2023-04-01,A,20.0,Product1,853.0,South
2023-04-02,A,24.0,Product2,319.0,South
2023-04-03,A,54.0,Product1,737.0,South
2023-04-04,C,33.0,Product3,157.0,South
2023-04-05,A,24.0,Product1,759.0,East
2023-04-06,A,75.0,Product2,575.0,East
2023-04-07,A,72.0,Product2,555.0,East
2023-04-08,C,,Product2,928.0,East
2023-04-09,A,38.0,Product1,994.0,South
2023-04-10,A,,Product2,460.0,West
2023-04-11,C,99.0,Product2,100.0,North
2023-04-12,C,89.0,Product1,,South
2023-04-13,C,99.0,Product3,447.0,North
2023-04-14,A,25.0,Product1,289.0,West
2023-04-15,C,93.0,Product2,,East
2023-04-16,C,18.0,Product2,290.0,West
2023-04-17,A,82.0,Product1,607.0,South
2023-04-18,C,66.0,Product3,468.0,East
2023-04-19,A,54.0,Product2,508.0,South
2023-04-20,B,35.0,Product2,923.0,East
2023-04-21,C,80.0,Product2,216.0,North
2023-04-22,B,61.0,Product1,233.0,North
2023-04-23,A,41.0,Product2,157.0,North
2023-04-24,C,,Product3,,West
2023-04-25,A,68.0,Product2,784.0,South
2023-04-26,B,33.0,Product2,771.0,West
2023-04-27,A,14.0,Product3,272.0,North
2023-04-28,C,21.0,Product2,928.0,South
2023-04-29,C,48.0,Product1,914.0,North
2023-04-30,B,,Product1,248.0,West
2023-05-01,A,8.0,Product1,,West
2023-05-02,C,7.0,Product3,985.0,West
2023-05-03,B,67.0,Product2,312.0,North
2023-05-04,C,17.0,Product1,,South
2023-05-05,C,33.0,Product3,,South
2023-05-06,A,48.0,Product2,328.0,North
2023-05-07,C,76.0,Product3,775.0,South
2023-05-08,A,59.0,Product1,326.0,North
2023-05-09,C,86.0,Product1,758.0,South
2023-05-10,B,22.0,Product1,631.0,East
2023-05-11,C,30.0,Product3,540.0,East
2023-05-12,A,38.0,Product3,501.0,West
2023-05-13,A,51.0,Product1,146.0,East
2023-05-14,B,,Product3,332.0,East
2023-05-15,C,8.0,Product1,404.0,East
2023-05-16,C,27.0,Product1,625.0,North
2023-05-17,B,27.0,Product2,,East
2023-05-18,C,98.0,Product3,514.0,East
2023-05-19,C,21.0,Product1,612.0,West
2023-05-20,A,30.0,Product1,472.0,East
2023-05-21,C,97.0,Product3,665.0,East
2023-05-22,C,28.0,Product2,985.0,South
2023-05-23,B,64.0,Product2,358.0,West
2023-05-24,B,97.0,Product1,755.0,West
2023-05-25,A,69.0,Product3,570.0,West
2023-05-26,C,61.0,Product2,111.0,West
2023-05-27,C,48.0,Product3,429.0,West
2023-05-28,C,19.0,Product3,835.0,West
2023-05-29,A,4.0,Product1,883.0,North
2023-05-30,A,35.0,Product2,457.0,East
2023-05-31,B,64.0,Product1,507.0,West
2023-06-01,A,49.0,Product2,767.0,East
2023-06-02,C,,Product2,472.0,East
2023-06-03,C,44.0,Product2,107.0,North
2023-06-04,A,92.0,Product2,221.0,West
2023-06-05,C,30.0,Product2,447.0,South
2023-06-06,C,93.0,Product3,775.0,North
2023-06-07,A,46.0,Product1,189.0,South
2023-06-08,A,6.0,Product3,747.0,East
2023-06-09,C,99.0,Product2,,East
2023-06-10,C,,Product1,415.0,North
2023-06-11,C,24.0,Product2,277.0,North
2023-06-12,B,93.0,Product1,639.0,South
2023-06-13,B,46.0,Product3,831.0,West
2023-06-14,B,53.0,Product1,968.0,South
2023-06-15,A,95.0,Product1,140.0,North
2023-06-16,B,99.0,Product1,839.0,South
2023-06-17,A,60.0,Product1,803.0,North
2023-06-18,A,97.0,Product1,601.0,South
2023-06-19,B,63.0,Product2,244.0,North
2023-06-20,B,85.0,Product1,300.0,North
2023-06-21,B,32.0,Product1,823.0,North
2023-06-22,C,87.0,Product3,560.0,West
2023-06-23,B,33.0,Product1,,South
2023-06-24,C,67.0,Product3,851.0,South
2023-06-25,A,18.0,Product2,657.0,South
2023-06-26,C,25.0,Product1,646.0,North
2023-06-27,B,95.0,Product3,352.0,South
2023-06-28,A,54.0,Product3,489.0,South
2023-06-29,A,58.0,Product2,693.0,North
2023-06-30,A,67.0,Product1,982.0,East
2023-07-01,C,46.0,Product1,355.0,North
2023-07-02,B,24.0,Product3,808.0,South
2023-07-03,A,32.0,Product1,914.0,North
2023-07-04,A,47.0,Product3,549.0,East
2023-07-05,A,86.0,Product1,109.0,North
2023-07-06,C,23.0,Product3,923.0,South
2023-07-07,C,66.0,Product1,897.0,East
2023-07-08,B,27.0,Product2,341.0,West
2023-07-09,C,2.0,Product1,350.0,South
2023-07-10,A,90.0,Product1,976.0,East
2023-07-11,B,17.0,Product2,104.0,East
2023-07-12,A,33.0,Product1,218.0,West
2023-07-13,A,9.0,Product2,900.0,North
2023-07-14,C,43.0,Product1,473.0,North
2023-07-15,B,48.0,Product3,164.0,South
2023-07-16,C,39.0,Product3,245.0,West
2023-07-17,C,93.0,Product1,323.0,North
2023-07-18,B,42.0,Product1,338.0,West
2023-07-19,A,26.0,Product1,276.0,North
